country,cluster,return_P_nomes,avg_gap,Number of record,Number of the day,percent,highest_amplitude,highest_frequency,highest_years_not_normalised
Dominican,1,11.134,564.7083333333334,73,40659,9.998000000000001,0.1274868457604936,20.0,5.565913757700206
Dominican,2,,0.0,0,0,0.0,0.0,0.0,0.0
Chile,1,2.02,345.94573643410854,130,44627,60.4879,0.14399053790108693,121.0,1.0097691493995395
Chile,2,1.91,423.88607594936707,80,33487,47.9904,0.09066803947081506,96.0,0.9550250969655487
Chile,3,2.19,543.2089552238806,68,36395,45.4909,0.08719441935347401,91.0,1.0949898834909102
Argentina,1,2.614,502.038961038961,78,38657,40.4919,0.13190102011235863,81.0,1.306630838002045
Argentina,2,2.285,526.1594202898551,70,36305,43.4913,0.13834898032458684,87.0,1.142501986515298
Argentina,3,2.893,840.9591836734694,50,41207,38.992200000000004,0.19090106644086585,78.0,1.4463925305814425
Peru,1,2.84,388.89285714285717,113,43556,41.9916,0.13190609520449822,84.0,1.4196408200514976
Peru,2,,0.0,0,0,0.0,0.0,0.0,0.0
Peru,3,,0.0,0,0,0.0,0.0,0.0,0.0
Colombia,1,18.237,554.974358974359,79,43288,6.4987,0.15894714228286666,13.0,9.116621913336493
Colombia,2,5.988,1405.8214285714287,29,39363,17.9964,0.1687689998712927,36.0,2.993611681496692
Colombia,3,,0.0,0,0,0.0,0.0,0.0,0.0
Indonesia,1,31.565,322.42657342657344,144,46107,3.9992,0.1087625589263565,8.0,15.779260780287474
Indonesia,2,9.242,1143.1612903225807,32,35438,10.4979,0.09136909554964068,21.0,4.6201883902089245
Indonesia,3,3.167,693.9333333333333,31,20818,17.9964,0.2304843806154665,36.0,1.5832382690698914
Timor Leste,1,2.982,454.64948453608247,98,44101,40.4919,0.12107914241773163,81.0,1.4906414513989235
Australia,1,4.818,499.2567567567568,75,36945,20.9958,0.08764291487006204,42.0,2.408330888823702
Australia,2,3.782,734.7021276595744,48,34531,24.995,0.09988149696379585,50.0,1.8908145106091718
Australia,3,4.657,789.5714285714286,43,33162,19.496100000000002,0.18789779106112836,39.0,2.328015584689096
New Zealand,1,2.689,348.9586776859504,122,42224,42.9914,0.09622766125182652,86.0,1.3442210655333238
New Zealand,2,2.365,491.2625,81,39301,45.4909,0.14598401886919996,91.0,1.1824205910448211
Algeria,1,8.993,1710.375,25,41049,12.4975,0.16876067400357211,25.0,4.495441478439425
Algeria,2,8.186,2669.214285714286,15,37369,12.4975,0.2552391829497649,25.0,4.09242984257358
Algeria,3,,0.0,0,0,0.0,0.0,0.0,0.0
Somalia,1,2.949,566.8157894736842,39,21539,19.996000000000002,0.07527723904636963,40.0,1.4742642026009583
Somalia,2,3.216,1479.64,26,36991,31.4937,0.11944090014927393,63.0,1.6075529915365643
South Africa,1,14.269,1139.875,17,18238,3.4993,0.08994214138610593,7.0,7.133274665102181
South Africa,2,4.483,482.7435897435897,40,18827,11.4977,0.06916258707512897,23.0,2.241109424753742
South Africa,3,5.755,764.2727272727273,23,16814,7.9984,0.1100272493264322,16.0,2.877138945927447
Saint Helena,1,6.686,727.7884615384615,53,37845,15.4969,0.10092726293319136,31.0,3.3423859044843347
Saint Helena,2,14.671,1704.6363636363637,12,18751,3.4993,0.08198688631510133,7.0,7.333920015644861
